 
t0            =  1949.885285185185190
rho0          =     2.052231577914738
theta0        =   310.996909104909397
rho t         =    -0.007169187021382
theta t       =     0.254815324396418
rad.curvature =     1.869840116799100
R V["/year]   =    -0.097597796643172
mass(pi=1)    =     0.000055416720359

a    =     3.434061041328179
e    =     0.891860498867848
T    =  2052.616164377342980
P    =   854.853326227893656
omega=    84.483870360211539
Node =     4.412142086149109
i    =    61.460447124609538

RMS=     0.139605109789882

RMS
all obs.=     0.139605109789882

    Ep       Rho(obs)      Theta(obs)     Rho(c)     Theta(c)       dRho        dTheta          X            Y 
1836.21000    2.5000000  295.6039700    2.6516302  289.1353083   -0.1516302    6.4686617   -2.2545065    1.0803706
1852.92000    2.8900000  292.5035700    2.5832209  291.7525075    0.3067791    0.7510625   -2.6699429    1.1061215
1857.90000    2.6300000  292.1034400    2.5618057  292.5600886    0.0681943   -0.4566486   -2.4367109    0.9896161
1880.59000    2.1000000  295.7028900    2.4577146  296.4247884   -0.3577146   -0.7218984   -1.8922158    0.9107795
1891.84000    2.0400000  293.0026200    2.4017696  298.4697079   -0.3617696   -5.4670879   -1.8777934    0.7971774
1913.88000    2.7800000  300.8020900    2.2824768  302.7802124    0.4975232   -1.9781224   -2.3878566    1.4235663
1928.74000    2.3400000  305.4017300    2.1935669  305.9636370    0.1464331   -0.5619070   -1.9073581    1.3555755
1930.70000    2.1700000  302.8016800    2.1812521  306.4032522   -0.0112521   -3.6015722   -1.8239951    1.1755603
1935.37000    2.1800000  307.8015700    2.1513066  307.4712197    0.0286934    0.3303503   -1.7225013    1.3361846
1937.13000    2.1400000  307.2015200    2.1397919  307.8815303    0.0002081   -0.6800103   -1.7045397    1.2938873
1942.51000    2.1300000  309.3013900    2.1037721  309.1640002    0.0262279    0.1373898   -1.6482469    1.3491412
1955.88000    1.8700000  313.6010700    2.0083063  312.5576174   -0.1383063    1.0434526   -1.3541773    1.2896138
1956.89000    2.1000000  311.9010500    2.0007115  312.8273808    0.0992885   -0.9263308   -1.5630285    1.4024770
1959.78000    1.8900000  311.8009800    1.9786518  313.6108183   -0.0886518   -1.8098383   -1.4089281    1.2597705
1959.82000    1.8800000  317.7209700    1.9783430  313.6217847   -0.0983430    4.0991853   -1.2647545    1.3909694
1960.71000    1.7300000  313.6009500    1.9714466  313.8666797   -0.2414466   -0.2657297   -1.2527975    1.1930626
1975.72200    1.8600000  319.8005900    1.8470156  318.2848938    0.0129844    1.5156962   -1.2005367    1.4206730
1977.82200    1.9700000  317.3005400    1.8282247  318.9522880    0.1417753   -1.6517480   -1.3359609    1.4477943
1977.82600    2.0200000  313.4005400    1.8281886  318.9535723    0.1918114   -5.5530323   -1.4676678    1.3879306
1991.25000    1.6990000  324.8002100    1.6978585  323.5865044    0.0011415    1.2137056   -0.9793534    1.3883328
1991.43000    1.6900000  324.9002100    1.6959733  323.6535902   -0.0059733    1.2466198   -0.9717538    1.3826766
2001.86460    1.5710000  328.7999500    1.5788028  327.8288248   -0.0078028    0.9711252   -0.8138216    1.3437765
2001.86460    1.5590000  328.7999500    1.5788028  327.8288248   -0.0198028    0.9711252   -0.8076053    1.3335122
2001.87020    1.5850000  330.9999500    1.5787352  327.8312360    0.0062648    3.1687140   -0.7684245    1.3862716
2001.87020    1.6200000  329.0999500    1.5787352  327.8312360    0.0412648    1.2687140   -0.8319380    1.3900644
2008.76970    1.4900000  332.6997900    1.4908258  330.9739064   -0.0008258    1.7258836   -0.6833927    1.3240372
2015.74340    1.4080000  337.2996200    1.3904490  334.5787489    0.0175510    2.7208711   -0.5433643    1.2989300

excluded:


